record_id,year,series,title,doi,doi_url,pmid,pubmed_url
253,2000,PRIMARY,Breast cancer patterns and lifetime risk of developing breast cancer among Puerto Rican females.,,,10761199,https://pubmed.ncbi.nlm.nih.gov/10761199/
259,2011,PRIMARY,What can we learn from the age- and race/ethnicity- specific rates of inflammatory breast carcinoma?,10.1007/s10549-011-1719-4,https://doi.org/10.1007/s10549-011-1719-4,21850396,https://pubmed.ncbi.nlm.nih.gov/21850396/
265,2008,PRIMARY,Age-related crossover in breast cancer incidence rates between black and white ethnic groups,10.1093/jnci/djn411,https://doi.org/10.1093/jnci/djn411,19066264,https://pubmed.ncbi.nlm.nih.gov/19066264/
272,2003,PRIMARY,Cancer rates among American Indians and Alaska Natives: is there a national  perspective,10.1002/cncr.11633,https://doi.org/10.1002/cncr.11633,12973851,https://pubmed.ncbi.nlm.nih.gov/12973851/
277,2018,PRIMARY,Race/Ethnicity and Age Distribution of Breast Cancer Diagnosis in the United  States,10.1001/jamasurg.2018.0035,https://doi.org/10.1001/jamasurg.2018.0035,29516087,https://pubmed.ncbi.nlm.nih.gov/29516087/
278,2013,PRIMARY,"Incidence of breast cancer with distant involvement among women in the United States, 1976 to 2009",10.1001/jama.2013.776,https://doi.org/10.1001/jama.2013.776,23443443,https://pubmed.ncbi.nlm.nih.gov/23443443/
284,2026,PRIMARY,"Trends in Female Breast Cancer Incidence among Japanese, Korean, and US Populations: An Age-Period-Cohort Analysis",10.1158/1055-9965.epi-26-0101,https://doi.org/10.1158/1055-9965.epi-26-0101,42065927,https://pubmed.ncbi.nlm.nih.gov/42065927/
286,2020,PRIMARY,Variation in breast cancer subtype incidence and distribution by race/ethnicity in the United States from 2010 to 2015,10.1001/jamanetworkopen.2020.20303,https://doi.org/10.1001/jamanetworkopen.2020.20303,33074325,https://pubmed.ncbi.nlm.nih.gov/33074325/
310,2007,PRIMARY,"Recent breast cancer trends among Asian/Pacific Islander, Hispanic, and African-American women in the US: Changes by tumor subtype",10.1186/bcr1839,https://doi.org/10.1186/bcr1839,18162138,https://pubmed.ncbi.nlm.nih.gov/18162138/
316,2018,PRIMARY,Early estimates of cancer incidence for 2015: Expanding to include estimates for white and black races,10.1002/cncr.31315,https://doi.org/10.1002/cncr.31315,29509274,https://pubmed.ncbi.nlm.nih.gov/29509274/
321,2016,PRIMARY,Risks of developing breast and colorectal cancer in association with incomes and geographic locations in Texas: A retrospective cohort study,10.1186/s12885-016-2324-z,https://doi.org/10.1186/s12885-016-2324-z,27118258,https://pubmed.ncbi.nlm.nih.gov/27118258/
322,2006,PRIMARY,Inter- and intra-ethnic differences for female breast carcinoma incidence in the continental United States and in the state of Hawaii,10.1007/s10549-005-9088-5,https://doi.org/10.1007/s10549-005-9088-5,16322891,https://pubmed.ncbi.nlm.nih.gov/16322891/
324,2017,PRIMARY,"Breast cancer in Asian Americans in California, 1988–2013: increasing incidence trends and recent data on breast cancer subtypes",10.1007/s10549-017-4229-1,https://doi.org/10.1007/s10549-017-4229-1,28365834,https://pubmed.ncbi.nlm.nih.gov/28365834/
333,2010,PRIMARY,Breast cancer incidence patterns among california hispanic women: Differences by nativity and residence in an enclave,10.1158/1055-9965.epi-10-0021,https://doi.org/10.1158/1055-9965.epi-10-0021,20447917,https://pubmed.ncbi.nlm.nih.gov/20447917/
336,2007,PRIMARY,Early- and late-onset breast cancer types among women in the United States and Japan,10.1158/1055-9965.epi-07-0108,https://doi.org/10.1158/1055-9965.epi-07-0108,17627009,https://pubmed.ncbi.nlm.nih.gov/17627009/
339,2010,PRIMARY,"Cancers of the breast, uterus, ovary and cervix among Alaska native women, 1974-2003",,,20167158,https://pubmed.ncbi.nlm.nih.gov/20167158/
346,2016,PRIMARY,"Patterns and Trends in Age-Specific Black-White Differences in Breast Cancer Incidence and Mortality - United States, 1999-2014",10.15585/mmwr.mm6540a1,https://doi.org/10.15585/mmwr.mm6540a1,27736827,https://pubmed.ncbi.nlm.nih.gov/27736827/
354,2005,PRIMARY,Explaining geographic variation in breast and cervical cancer incidence rates in US Hispanic women,,,16259500,https://pubmed.ncbi.nlm.nih.gov/16259500/
358,2014,ARN,"Annual Report to the Nation on the status of cancer, 1975-2010, featuring  prevalence of comorbidity and impact on survival among persons with lung, colorectal, breast, or prostate cancer",10.1002/cncr.28509,https://doi.org/10.1002/cncr.28509,24343171,https://pubmed.ncbi.nlm.nih.gov/24343171/
361,2010,PRIMARY,Decline in US breast cancer rates after the Women's Health Initiative: socioeconomic and racial/ethnic differentials.,,,20147667,https://pubmed.ncbi.nlm.nih.gov/20147667/
362,2017,ARN,"Annual Report to the Nation on the Status of Cancer, 1975-2014, Featuring  Survival",10.1093/jnci/djx030,https://doi.org/10.1093/jnci/djx030,28376154,https://pubmed.ncbi.nlm.nih.gov/28376154/
369,2018,PRIMARY,"Differences in breast cancer incidence among young women aged 20–49 years by stage and tumor characteristics, age, race, and ethnicity, 2004–2013",10.1007/s10549-018-4699-9,https://doi.org/10.1007/s10549-018-4699-9,29445940,https://pubmed.ncbi.nlm.nih.gov/29445940/
377,2016,PRIMARY,Racial/ethnicity disparities in invasive breast cancer among younger and older  women: An analysis using multiple measures of population health,10.1016/j.canep.2016.10.013,https://doi.org/10.1016/j.canep.2016.10.013,27792934,https://pubmed.ncbi.nlm.nih.gov/27792934/
381,2010,PRIMARY,Age/race differences in HER2 testing and in incidence rates for breast cancer triple subtypes: A population-based study and first report,10.1002/cncr.25016,https://doi.org/10.1002/cncr.25016,20336785,https://pubmed.ncbi.nlm.nih.gov/20336785/
383,2002,PRIMARY,Rates for breast cancer characteristics by estrogen and progesterone receptor status in the major racial/ethnic groups,10.1023/a:1016361932220,https://doi.org/10.1023/a:1016361932220,12206512,https://pubmed.ncbi.nlm.nih.gov/12206512/
384,2006,ARN,"Annual report to the nation on the status of cancer, 1975-2003, featuring cancer  among U.S. Hispanic/Latino populations",10.1002/cncr.22193,https://doi.org/10.1002/cncr.22193,16958083,https://pubmed.ncbi.nlm.nih.gov/16958083/
385,2025,PRIMARY,"Disparities in Stage at Presentation for Disaggregated Asian American, Native Hawaiian, and Pacific Islander Patients with Breast Cancer",10.1245/s10434-025-16974-x,https://doi.org/10.1245/s10434-025-16974-x,,
